file,emotion,emotional intensity
speech/actor_01/03-01-02-01-02-02-01.wav,calm,normal
speech/actor_01/03-01-04-01-01-02-01.wav,sadness,normal
speech/actor_01/03-01-08-01-02-01-01.wav,surprise,normal
speech/actor_01/03-01-08-02-01-01-01.wav,surprise,strong
speech/actor_01/03-01-02-01-01-01-01.wav,calm,normal
speech/actor_01/03-01-07-02-01-02-01.wav,disgust,strong
speech/actor_01/03-01-02-02-02-02-01.wav,calm,strong
speech/actor_01/03-01-07-01-01-02-01.wav,disgust,normal
speech/actor_01/03-01-01-01-02-01-01.wav,neutral,normal
speech/actor_01/03-01-01-01-01-02-01.wav,neutral,normal
speech/actor_01/03-01-07-02-02-02-01.wav,disgust,strong
speech/actor_01/03-01-02-02-02-01-01.wav,calm,strong
speech/actor_15/03-01-06-02-01-02-15.wav,fear,strong
speech/actor_15/03-01-07-01-02-02-15.wav,disgust,normal
speech/actor_15/03-01-05-01-02-01-15.wav,anger,normal
speech/actor_15/03-01-02-02-01-01-15.wav,calm,strong
speech/actor_15/03-01-05-02-02-01-15.wav,anger,strong
speech/actor_15/03-01-03-01-02-02-15.wav,happiness,normal
speech/actor_15/03-01-02-02-02-01-15.wav,calm,strong
speech/actor_15/03-01-07-02-01-01-15.wav,disgust,strong
speech/actor_15/03-01-08-02-02-02-15.wav,surprise,strong
speech/actor_15/03-01-02-02-02-02-15.wav,calm,strong
speech/actor_15/03-01-02-02-01-02-15.wav,calm,strong
speech/actor_15/03-01-07-02-01-02-15.wav,disgust,strong
speech/actor_15/03-01-06-01-02-02-15.wav,fear,normal
speech/actor_15/03-01-03-02-01-01-15.wav,happiness,strong
speech/actor_15/03-01-04-02-01-02-15.wav,sadness,strong
speech/actor_15/03-01-05-01-01-01-15.wav,anger,normal
speech/actor_15/03-01-08-01-02-01-15.wav,surprise,normal
speech/actor_15/03-01-03-02-01-02-15.wav,happiness,strong
speech/actor_15/03-01-03-02-02-02-15.wav,happiness,strong
speech/actor_15/03-01-04-01-02-01-15.wav,sadness,normal
speech/actor_15/03-01-08-01-01-01-15.wav,surprise,normal
speech/actor_15/03-01-04-02-02-01-15.wav,sadness,strong
speech/actor_15/03-01-07-01-01-01-15.wav,disgust,normal
speech/actor_15/03-01-07-02-02-01-15.wav,disgust,strong
speech/actor_15/03-01-05-02-02-02-15.wav,anger,strong
speech/actor_15/03-01-06-02-02-02-15.wav,fear,strong
speech/actor_15/03-01-06-02-01-01-15.wav,fear,strong
speech/actor_15/03-01-07-01-01-02-15.wav,disgust,normal
speech/actor_15/03-01-02-01-02-02-15.wav,calm,normal
speech/actor_15/03-01-03-01-01-02-15.wav,happiness,normal
speech/actor_15/03-01-01-01-01-01-15.wav,neutral,normal
speech/actor_15/03-01-03-01-01-01-15.wav,happiness,normal
speech/actor_15/03-01-05-02-01-01-15.wav,anger,strong
speech/actor_15/03-01-06-01-02-01-15.wav,fear,normal
speech/actor_15/03-01-01-01-02-02-15.wav,neutral,normal
speech/actor_15/03-01-06-01-01-02-15.wav,fear,normal
speech/actor_15/03-01-05-02-01-02-15.wav,anger,strong
speech/actor_15/03-01-07-02-02-02-15.wav,disgust,strong
speech/actor_15/03-01-02-01-01-01-15.wav,calm,normal
speech/actor_15/03-01-06-02-02-01-15.wav,fear,strong
speech/actor_15/03-01-03-02-02-01-15.wav,happiness,strong
speech/actor_15/03-01-01-01-01-02-15.wav,neutral,normal
speech/actor_15/03-01-03-01-02-01-15.wav,happiness,normal
speech/actor_15/03-01-08-02-02-01-15.wav,surprise,strong
speech/actor_15/03-01-01-01-02-01-15.wav,neutral,normal
speech/actor_15/03-01-04-01-01-02-15.wav,sadness,normal
speech/actor_15/03-01-05-01-02-02-15.wav,anger,normal
speech/actor_15/03-01-05-01-01-02-15.wav,anger,normal
speech/actor_15/03-01-06-01-01-01-15.wav,fear,normal
speech/actor_15/03-01-04-02-01-01-15.wav,sadness,strong
speech/actor_15/03-01-08-01-01-02-15.wav,surprise,normal
speech/actor_15/03-01-02-01-01-02-15.wav,calm,normal
speech/actor_15/03-01-08-01-02-02-15.wav,surprise,normal
speech/actor_15/03-01-08-02-01-02-15.wav,surprise,strong
speech/actor_15/03-01-04-01-01-01-15.wav,sadness,normal
speech/actor_15/03-01-04-01-02-02-15.wav,sadness,normal
speech/actor_15/03-01-04-02-02-02-15.wav,sadness,strong
speech/actor_15/03-01-02-01-02-01-15.wav,calm,normal
speech/actor_15/03-01-07-01-02-01-15.wav,disgust,normal
speech/actor_15/03-01-08-02-01-01-15.wav,surprise,strong
speech/actor_09/03-01-08-02-02-01-09.wav,surprise,strong
speech/actor_09/03-01-03-02-02-02-09.wav,happiness,strong
speech/actor_09/03-01-05-01-01-01-09.wav,anger,normal
speech/actor_09/03-01-06-01-01-02-09.wav,fear,normal
speech/actor_09/03-01-01-01-01-01-09.wav,neutral,normal
speech/actor_09/03-01-06-02-01-02-09.wav,fear,strong
speech/actor_09/03-01-07-01-02-02-09.wav,disgust,normal
speech/actor_09/03-01-02-02-02-02-09.wav,calm,strong
speech/actor_09/03-01-04-02-02-02-09.wav,sadness,strong
speech/actor_09/03-01-03-01-02-02-09.wav,happiness,normal
speech/actor_09/03-01-07-02-01-01-09.wav,disgust,strong
speech/actor_09/03-01-02-02-02-01-09.wav,calm,strong
speech/actor_09/03-01-02-01-02-02-09.wav,calm,normal
speech/actor_09/03-01-04-02-02-01-09.wav,sadness,strong
speech/actor_09/03-01-06-02-02-02-09.wav,fear,strong
speech/actor_09/03-01-04-01-01-01-09.wav,sadness,normal
speech/actor_09/03-01-08-01-02-02-09.wav,surprise,normal
speech/actor_09/03-01-08-01-02-01-09.wav,surprise,normal
speech/actor_09/03-01-01-01-02-01-09.wav,neutral,normal
speech/actor_09/03-01-03-02-01-01-09.wav,happiness,strong
speech/actor_09/03-01-05-02-02-02-09.wav,anger,strong
speech/actor_09/03-01-04-01-02-01-09.wav,sadness,normal
speech/actor_09/03-01-04-01-02-02-09.wav,sadness,normal
speech/actor_09/03-01-08-02-01-01-09.wav,surprise,strong
speech/actor_09/03-01-06-02-01-01-09.wav,fear,strong
speech/actor_09/03-01-07-02-01-02-09.wav,disgust,strong
speech/actor_09/03-01-06-01-02-02-09.wav,fear,normal
speech/actor_09/03-01-05-01-02-01-09.wav,anger,normal
speech/actor_09/03-01-03-01-02-01-09.wav,happiness,normal
speech/actor_09/03-01-06-01-01-01-09.wav,fear,normal
speech/actor_09/03-01-02-02-01-01-09.wav,calm,strong
speech/actor_09/03-01-03-01-01-01-09.wav,happiness,normal
speech/actor_09/03-01-05-01-01-02-09.wav,anger,normal
speech/actor_09/03-01-04-02-01-01-09.wav,sadness,strong
speech/actor_09/03-01-08-02-01-02-09.wav,surprise,strong
speech/actor_09/03-01-06-02-02-01-09.wav,fear,strong
speech/actor_09/03-01-03-02-02-01-09.wav,happiness,strong
speech/actor_09/03-01-01-01-02-02-09.wav,neutral,normal
speech/actor_09/03-01-02-02-01-02-09.wav,calm,strong
speech/actor_09/03-01-08-01-01-02-09.wav,surprise,normal
speech/actor_09/03-01-06-01-02-01-09.wav,fear,normal
speech/actor_09/03-01-02-01-02-01-09.wav,calm,normal
speech/actor_09/03-01-05-02-01-02-09.wav,anger,strong
speech/actor_09/03-01-07-01-01-02-09.wav,disgust,normal
speech/actor_09/03-01-07-02-02-02-09.wav,disgust,strong
speech/actor_09/03-01-02-01-01-02-09.wav,calm,normal
speech/actor_09/03-01-05-01-02-02-09.wav,anger,normal
speech/actor_09/03-01-08-02-02-02-09.wav,surprise,strong
speech/actor_09/03-01-04-02-01-02-09.wav,sadness,strong
speech/actor_09/03-01-03-01-01-02-09.wav,happiness,normal
speech/actor_09/03-01-03-02-01-02-09.wav,happiness,strong
speech/actor_09/03-01-07-02-02-01-09.wav,disgust,strong
speech/actor_09/03-01-08-01-01-01-09.wav,surprise,normal
speech/actor_09/03-01-05-02-01-01-09.wav,anger,strong
speech/actor_09/03-01-05-02-02-01-09.wav,anger,strong
speech/actor_09/03-01-07-01-02-01-09.wav,disgust,normal
speech/actor_09/03-01-02-01-01-01-09.wav,calm,normal
speech/actor_09/03-01-07-01-01-01-09.wav,disgust,normal
speech/actor_09/03-01-01-01-01-02-09.wav,neutral,normal
speech/actor_09/03-01-04-01-01-02-09.wav,sadness,normal
speech/actor_04/03-01-05-02-02-01-04.wav,anger,strong
speech/actor_04/03-01-03-02-01-01-04.wav,happiness,strong
speech/actor_04/03-01-08-02-02-02-04.wav,surprise,strong
speech/actor_04/03-01-02-01-02-02-04.wav,calm,normal
speech/actor_04/03-01-02-02-01-01-04.wav,calm,strong
speech/actor_04/03-01-01-01-02-01-04.wav,neutral,normal
speech/actor_04/03-01-04-01-02-02-04.wav,sadness,normal
speech/actor_04/03-01-04-01-01-02-04.wav,sadness,normal
speech/actor_04/03-01-01-01-01-01-04.wav,neutral,normal
speech/actor_04/03-01-03-02-01-02-04.wav,happiness,strong
speech/actor_04/03-01-03-01-01-01-04.wav,happiness,normal
speech/actor_04/03-01-08-01-01-02-04.wav,surprise,normal
speech/actor_04/03-01-02-02-02-02-04.wav,calm,strong
speech/actor_04/03-01-07-02-02-01-04.wav,disgust,strong
speech/actor_04/03-01-07-02-01-02-04.wav,disgust,strong
speech/actor_04/03-01-07-01-01-01-04.wav,disgust,normal
speech/actor_04/03-01-07-01-01-02-04.wav,disgust,normal
speech/actor_04/03-01-04-01-02-01-04.wav,sadness,normal
speech/actor_04/03-01-03-01-01-02-04.wav,happiness,normal
speech/actor_04/03-01-06-02-01-02-04.wav,fear,strong
speech/actor_04/03-01-04-02-01-01-04.wav,sadness,strong
speech/actor_04/03-01-08-01-01-01-04.wav,surprise,normal
speech/actor_04/03-01-04-02-01-02-04.wav,sadness,strong
speech/actor_04/03-01-06-01-02-01-04.wav,fear,normal
speech/actor_04/03-01-07-01-02-02-04.wav,disgust,normal
speech/actor_04/03-01-04-02-02-01-04.wav,sadness,strong
speech/actor_04/03-01-05-01-02-02-04.wav,anger,normal
speech/actor_04/03-01-03-01-02-02-04.wav,happiness,normal
speech/actor_04/03-01-01-01-02-02-04.wav,neutral,normal
speech/actor_04/03-01-03-01-02-01-04.wav,happiness,normal
speech/actor_04/03-01-08-01-02-02-04.wav,surprise,normal
speech/actor_04/03-01-05-02-01-02-04.wav,anger,strong
speech/actor_04/03-01-08-02-01-02-04.wav,surprise,strong
speech/actor_04/03-01-05-02-01-01-04.wav,anger,strong
speech/actor_04/03-01-08-01-02-01-04.wav,surprise,normal
speech/actor_04/03-01-03-02-02-01-04.wav,happiness,strong
speech/actor_04/03-01-04-01-01-01-04.wav,sadness,normal
speech/actor_04/03-01-05-01-01-01-04.wav,anger,normal
speech/actor_04/03-01-02-02-02-01-04.wav,calm,strong
speech/actor_04/03-01-06-02-02-01-04.wav,fear,strong
speech/actor_04/03-01-02-01-01-01-04.wav,calm,normal
speech/actor_04/03-01-07-02-02-02-04.wav,disgust,strong
speech/actor_04/03-01-02-01-01-02-04.wav,calm,normal
speech/actor_04/03-01-05-01-01-02-04.wav,anger,normal
speech/actor_04/03-01-08-02-01-01-04.wav,surprise,strong
speech/actor_04/03-01-06-01-01-02-04.wav,fear,normal
speech/actor_04/03-01-06-02-01-01-04.wav,fear,strong
speech/actor_04/03-01-07-01-02-01-04.wav,disgust,normal
speech/actor_04/03-01-05-01-02-01-04.wav,anger,normal
speech/actor_04/03-01-06-01-01-01-04.wav,fear,normal
speech/actor_04/03-01-07-02-01-01-04.wav,disgust,strong
speech/actor_04/03-01-02-01-02-01-04.wav,calm,normal
speech/actor_04/03-01-02-02-01-02-04.wav,calm,strong
speech/actor_04/03-01-01-01-01-02-04.wav,neutral,normal
speech/actor_04/03-01-05-02-02-02-04.wav,anger,strong
speech/actor_04/03-01-08-02-02-01-04.wav,surprise,strong
speech/actor_04/03-01-04-02-02-02-04.wav,sadness,strong
speech/actor_04/03-01-03-02-02-02-04.wav,happiness,strong
speech/actor_04/03-01-06-01-02-02-04.wav,fear,normal
speech/actor_04/03-01-06-02-02-02-04.wav,fear,strong
speech/actor_13/03-01-05-02-02-02-13.wav,anger,strong
speech/actor_13/03-01-05-01-01-02-13.wav,anger,normal
speech/actor_13/03-01-03-02-02-02-13.wav,happiness,strong
speech/actor_13/03-01-04-01-01-02-13.wav,sadness,normal
speech/actor_13/03-01-05-02-01-01-13.wav,anger,strong
speech/actor_13/03-01-03-02-02-01-13.wav,happiness,strong
speech/actor_13/03-01-08-02-02-02-13.wav,surprise,strong
speech/actor_13/03-01-08-01-01-02-13.wav,surprise,normal
speech/actor_13/03-01-08-02-01-02-13.wav,surprise,strong
speech/actor_13/03-01-06-01-01-02-13.wav,fear,normal
speech/actor_13/03-01-02-02-02-01-13.wav,calm,strong
speech/actor_13/03-01-03-01-01-01-13.wav,happiness,normal
speech/actor_13/03-01-04-02-02-02-13.wav,sadness,strong
speech/actor_13/03-01-04-01-01-01-13.wav,sadness,normal
speech/actor_13/03-01-06-01-01-01-13.wav,fear,normal
speech/actor_13/03-01-04-02-01-01-13.wav,sadness,strong
speech/actor_13/03-01-02-01-02-02-13.wav,calm,normal
speech/actor_13/03-01-08-01-02-02-13.wav,surprise,normal
speech/actor_13/03-01-06-02-02-01-13.wav,fear,strong
speech/actor_13/03-01-05-02-02-01-13.wav,anger,strong
speech/actor_13/03-01-07-02-01-01-13.wav,disgust,strong
speech/actor_13/03-01-04-02-02-01-13.wav,sadness,strong
speech/actor_13/03-01-08-01-02-01-13.wav,surprise,normal
speech/actor_13/03-01-08-02-01-01-13.wav,surprise,strong
speech/actor_13/03-01-03-01-01-02-13.wav,happiness,normal
speech/actor_13/03-01-07-02-02-01-13.wav,disgust,strong
speech/actor_13/03-01-02-02-01-01-13.wav,calm,strong
speech/actor_13/03-01-07-02-01-02-13.wav,disgust,strong
speech/actor_13/03-01-04-01-02-01-13.wav,sadness,normal
speech/actor_13/03-01-03-02-01-02-13.wav,happiness,strong
speech/actor_13/03-01-05-02-01-02-13.wav,anger,strong
speech/actor_13/03-01-07-01-02-01-13.wav,disgust,normal
speech/actor_13/03-01-06-02-02-02-13.wav,fear,strong
speech/actor_13/03-01-03-01-02-02-13.wav,happiness,normal
speech/actor_13/03-01-02-01-02-01-13.wav,calm,normal
speech/actor_13/03-01-06-01-02-01-13.wav,fear,normal
speech/actor_13/03-01-05-01-02-01-13.wav,anger,normal
speech/actor_13/03-01-07-01-02-02-13.wav,disgust,normal
speech/actor_13/03-01-07-01-01-02-13.wav,disgust,normal
speech/actor_13/03-01-05-01-02-02-13.wav,anger,normal
speech/actor_13/03-01-02-01-01-02-13.wav,calm,normal
speech/actor_13/03-01-02-02-01-02-13.wav,calm,strong
speech/actor_13/03-01-08-02-02-01-13.wav,surprise,strong
speech/actor_13/03-01-03-01-02-01-13.wav,happiness,normal
speech/actor_13/03-01-05-01-01-01-13.wav,anger,normal
speech/actor_13/03-01-01-01-02-01-13.wav,neutral,normal
speech/actor_13/03-01-01-01-01-02-13.wav,neutral,normal
speech/actor_13/03-01-01-01-02-02-13.wav,neutral,normal
speech/actor_13/03-01-07-02-02-02-13.wav,disgust,strong
speech/actor_13/03-01-04-01-02-02-13.wav,sadness,normal
speech/actor_13/03-01-01-01-01-01-13.wav,neutral,normal
speech/actor_13/03-01-06-01-02-02-13.wav,fear,normal
speech/actor_13/03-01-02-02-02-02-13.wav,calm,strong
speech/actor_13/03-01-04-02-01-02-13.wav,sadness,strong
speech/actor_13/03-01-03-02-01-01-13.wav,happiness,strong
speech/actor_13/03-01-06-02-01-01-13.wav,fear,strong
speech/actor_13/03-01-08-01-01-01-13.wav,surprise,normal
speech/actor_13/03-01-02-01-01-01-13.wav,calm,normal
speech/actor_13/03-01-06-02-01-02-13.wav,fear,strong
speech/actor_13/03-01-07-01-01-01-13.wav,disgust,normal
speech/actor_14/03-01-07-02-01-01-14.wav,disgust,strong
speech/actor_14/03-01-06-02-01-01-14.wav,fear,strong
speech/actor_14/03-01-06-01-01-02-14.wav,fear,normal
speech/actor_14/03-01-07-01-02-01-14.wav,disgust,normal
speech/actor_14/03-01-08-02-01-01-14.wav,surprise,strong
speech/actor_14/03-01-02-02-02-02-14.wav,calm,strong
speech/actor_14/03-01-05-02-01-02-14.wav,anger,strong
speech/actor_14/03-01-01-01-02-01-14.wav,neutral,normal
speech/actor_14/03-01-08-01-01-02-14.wav,surprise,normal
speech/actor_14/03-01-04-02-02-01-14.wav,sadness,strong
speech/actor_14/03-01-02-02-01-01-14.wav,calm,strong
speech/actor_14/03-01-04-01-02-02-14.wav,sadness,normal
speech/actor_14/03-01-02-01-01-01-14.wav,calm,normal
speech/actor_14/03-01-03-02-01-02-14.wav,happiness,strong
speech/actor_14/03-01-06-02-02-02-14.wav,fear,strong
speech/actor_14/03-01-08-02-02-02-14.wav,surprise,strong
speech/actor_14/03-01-04-02-02-02-14.wav,sadness,strong
speech/actor_14/03-01-04-02-01-01-14.wav,sadness,strong
speech/actor_14/03-01-06-02-01-02-14.wav,fear,strong
speech/actor_14/03-01-07-01-01-01-14.wav,disgust,normal
speech/actor_14/03-01-08-01-01-01-14.wav,surprise,normal
speech/actor_14/03-01-04-01-02-01-14.wav,sadness,normal
